iter	Passed	Remaining
784	6980	1911
785	6992	1903
786	7004	1895
787	7015	1887
788	7029	1879
789	7042	1872
790	7054	1863
791	7066	1855
792	7078	1847
793	7086	1838
794	7096	1829
795	7106	1821
796	7120	1813
797	7133	1805
798	7143	1797
799	7155	1788
800	7166	1780
801	7177	1771
802	7190	1763
803	7201	1755
804	7211	1746
805	7220	1738
806	7234	1730
807	7247	1722
808	7256	1713
809	7294	1711
810	7312	1704
811	7341	1699
812	7353	1691
813	7362	1682
814	7370	1673
815	7379	1664
816	7388	1654
817	7398	1646
818	7407	1636
819	7415	1627
820	7423	1618
821	7432	1609
822	7439	1600
823	7448	1590
824	7456	1581
825	7465	1572
826	7473	1563
827	7483	1554
828	7490	1545
829	7500	1536
830	7509	1527
831	7517	1517
832	7525	1508
833	7535	1499
834	7544	1490
835	7552	1481
836	7561	1472
837	7568	1463
838	7575	1453
839	7585	1444
840	7594	1435
841	7603	1426
842	7613	1417
843	7622	1408
844	7631	1399
845	7640	1390
846	7648	1381
847	7657	1372
848	7665	1363
849	7673	1354
850	7681	1344
851	7690	1335
852	7698	1326
853	7708	1317
854	7717	1308
855	7726	1299
856	7735	1290
857	7744	1281
858	7754	1272
859	7763	1263
860	7771	1254
861	7779	1245
862	7788	1236
863	7798	1227
864	7807	1218
865	7815	1209
866	7822	1200
867	7831	1190
868	7840	1181
869	7847	1172
870	7856	1163
871	7863	1154
872	7870	1144
873	7879	1135
874	7886	1126
875	7895	1117
876	7903	1108
877	7911	1099
878	7921	1090
879	7929	1081
880	7938	1072
881	7945	1063
882	7952	1053
883	7961	1044
884	7970	1035
885	7979	1026
886	7986	1017
887	7994	1008
888	8003	999
889	8010	990
890	8017	980
891	8026	971
892	8034	962
893	8041	953
894	8049	944
895	8058	935
896	8066	926
897	8075	917
898	8083	908
899	8091	899
900	8100	890
901	8109	881
902	8117	871
903	8126	862
904	8133	853
905	8141	844
906	8150	835
907	8158	826
908	8165	817
909	8172	808
910	8181	799
911	8189	790
912	8198	781
913	8206	772
914	8213	763
915	8222	754
916	8230	745
917	8238	735
918	8246	726
919	8255	717
920	8262	708
921	8271	699
922	8278	690
923	8286	681
924	8295	672
925	8303	663
926	8311	654
927	8319	645
928	8327	636
929	8335	627
930	8342	618
931	8351	609
932	8358	600
933	8367	591
934	8375	582
935	8382	573
936	8391	564
937	8399	555
938	8407	546
939	8415	537
940	8422	528
941	8430	519
942	8439	510
943	8446	501
944	8453	491
945	8461	482
946	8468	473
947	8476	464
948	8483	455
949	8491	446
950	8500	437
951	8507	428
952	8515	419
953	8523	410
954	8530	401
955	8537	392
956	8545	383
957	8554	375
958	8561	366
959	8570	357
960	8578	348
961	8585	339
962	8593	330
963	8600	321
964	8608	312
965	8616	303
966	8624	294
967	8632	285
968	8642	276
969	8649	267
970	8657	258
971	8663	249
972	8672	240
973	8679	231
974	8688	222
975	8697	213
976	8705	204
977	8714	196
978	8721	187
979	8730	178
980	8737	169
981	8746	160
982	8754	151
983	8761	142
984	8769	133
985	8777	124
986	8784	115
987	8793	106
988	8801	97
989	8810	88
990	8818	80
991	8825	71
992	8832	62
993	8840	53
994	8847	44
995	8855	35
996	8862	26
997	8869	17
998	8877	8
999	8884	0
